avg_wind_speed,sol_rad,max_air_temp,min_air_temp,avg_air_temp,avg_rel_hum,avg_dewpt_temp,precip,pot_evapot,avg_soiltemp_4in_sod,OUTPUT
4.3,26.97,86.1,67.7,77.7,71.1,67.1,0,0.25,79.3,-7.2
3.8,9.4,79.8,66.1,73.2,86.3,68.9,0.88,0.08,77,-4.7
3.4,14.59,84,71.3,75.6,86,70.9,0,0.13,76.8,-4.7
4.9,22.94,82.2,71.5,76.5,77.8,68.7,0,0.21,78.1,-4.3
4.6,15.63,80.7,64.6,72,74.9,63.3,0,0.14,77.4,-5.6
6.3,28.77,70.3,56.6,64,65.5,51.8,0,0.24,75.6,-3.8
2.9,19.37,70,51.6,61.3,63.2,48.2,0,0.15,73.4,-1.4
4.7,13.04,77.9,59.9,68.5,78.9,61.7,0.07,0.11,72.1,1.5
3.6,18.4,74,56,66.7,67.8,54.5,0,0.16,72.3,0.9
5.1,29.44,79.7,53.4,69.4,64.3,55.8,0,0.26,72.1,2.6
8.3,27.36,84.2,55.9,70.3,63.2,57,0,0.25,73.8,2.8
5.8,23.29,70,50.6,59.9,72.9,50.5,0.02,0.18,71.8,5.9
3.3,28.35,77.5,52,65.8,59.8,49.8,0,0.24,71.8,4.1
2,14.55,76.9,58.1,67.3,69.3,55.9,0,0.13,72,4.6
3.7,25.07,77.1,57.8,68.9,70,57.9,0,0.22,73.6,3
1.6,24.54,78.4,53.9,67.5,68,55.2,0,0.21,73.2,2.9
2,29.4,81.7,56.7,71.4,66.3,58.1,0,0.26,74.7,0.5
2.8,22.72,85.9,67.1,76.3,69.5,65.3,0,0.21,76.6,-2.7
5.2,22.39,83.5,69.2,76.3,80.2,69.4,0.53,0.2,77.7,-0.2
5.7,8.49,77.6,69.2,72.9,91.1,70.2,0.44,0.07,75.9,4
4.2,20.62,86.3,68.4,76.1,79.5,68.7,0.01,0.19,76.6,4.2
4.3,16.53,82.8,67.9,75.4,80.4,68.5,0.43,0.15,76.6,4.4
4.9,15.59,83.5,65.7,74.1,81.9,68,0.75,0.14,76.1,6.7
5.4,23.37,75.8,62.2,68.5,74.8,59.5,0,0.2,75.2,5.9
3.1,13.52,77.3,62,69.4,86.8,65.1,0.07,0.11,73.9,5.8
3.9,23.69,87.4,68.6,78.1,80.3,71.1,0,0.22,77.5,2.2
3.9,22.52,86.9,69.8,76.6,83.6,70.9,0.11,0.21,79.9,-1.3
4.5,23.16,89.5,70.3,77.4,83.7,71.6,0.04,0.22,80.8,-2.2
3.9,23.46,89,69.7,79.2,80.8,72.3,0.03,0.22,81,-2.2
4.9,26.97,93.7,72.2,83.3,78.8,75.6,0,0.26,82.8,-3.1
5.2,26.8,82.1,65.5,74.8,64.4,61.7,0,0.24,81.1,-0.1
3.3,24.09,83.1,64.4,74.1,69.9,62.6,0,0.22,79.7,2.2
2.5,23.73,85.3,64.3,75.9,72,65.5,0,0.22,79.7,1.1
6.5,18.69,76.4,66.5,71.4,79.7,64.6,0,0.16,78.6,-2
4.1,26.38,80.6,63.1,71.8,73.3,62.2,0,0.23,78.6,-4.1
3.4,25.83,83.3,62.3,74.1,70.7,63,0,0.23,78.8,-4.5
4,20.44,86.6,68.2,77.5,76.4,69.4,0,0.19,79.7,-4.9
5,18.54,91.3,71.5,82,76.5,73.6,0,0.18,81,-4.7
4.7,20.13,88.1,73.8,81,77.5,73.2,0,0.19,81.9,-4.7
6.9,21.69,80.4,63.8,73.4,72.8,63.9,0,0.19,80.8,-6.5
6.7,13.99,73.1,59.6,65.3,71.1,55.4,0,0.12,76.6,-0.9
5.1,15.5,72.4,60.2,65.5,70.3,55.2,0.01,0.13,74.5,4.1
4.8,20.67,76.2,59.5,67.3,71,57,0,0.18,74.3,4.7
2.1,25.68,79.2,55.4,68,67.8,55.2,0,0.22,74.8,5.1
2.5,26.13,81.5,56.1,71.1,67.3,58.6,0,0.23,76.3,3.4
2.9,16.61,80.6,66.4,73.4,71.9,63.5,0,0.15,77.2,-0.9
3.1,4.31,71.5,61.8,65.5,94.6,63.9,0.68,0.03,74.3,1.1
